dates;text
2015-09-13;'We've got to stop being frightened of our own shadow' Rick Hillier says http//tco/rdJiefiZk SyrianRefugees http//tc
2015-09-13;Listen to this girl she talks sense https//tco/uUvoSSvVOj SyrianRefugees Follow vlogger SyrianGirlPartisan for more Syria
2015-09-13;'We've got to stop being frightened of our own shadow' Rick Hillier says http//tco/rdJiefiZk SyrianRefugees http//tc
2015-09-13;Arabs Govts must be critisized for SyrianRefugees amp IraqiRefugees but why is Iran left out of criticism ISIS
2015-09-13;Headed to the march for Syrian resettlement in St Louis tonight Will have coverage of issue in  this week S
2015-09-13;'We've got to stop being frightened of our own shadow' Rick Hillier says http//tco/rdJiefiZk SyrianRefugees http//tc
2015-09-13;We walk together a Syrian familys journey to the heart of Europe  video wewalktogether http//tco/FGLnFeaN elxn SyrianRefugees
2015-09-13;The BIG refugee crisis is in Syria ampneighbouring nations Yet UNHCR lacks  of budget http//tco/TwVoKtLk http/
2015-09-13;Obama imports Mexican amp Latin Amer Refugees for years  AND NOW SyrianRefugees  WakeUpAmerica  ImpeachBitsLate http//tco
2015-09-13;refugees please WATCH amp RETWEET lets Help SyrianRefugees https//tco/FvFCVccfs http//tco/wJWeUQFWR
2015-09-13;Headed to the march for Syrian resettlement in St Louis tonight Will have coverage of issue in  this week S
2015-09-13;This Hungarian journalist kicked an old Syrian old man who was running for his and his child's life SyrianRefugees http//
2015-09-13;Headed to the march for Syrian resettlement in St Louis tonight Will have coverage of issue in  this week S
2015-09-13;'We've got to stop being frightened of our own shadow' Rick Hillier says http//tco/rdJiefiZk SyrianRefugees http//tc
2015-09-13;How many women and children can you in this pic of SyrianRefugees in Munich http//tco/quJjeWgmx
2015-09-13;Think about it What does Lady Liberty say What has happened  society these days syrianrefugees UniteBlue tcot http//tco/nNRDuWFczX
2015-09-13;Govt bans Saudis from adopting Syria orphans http//tco/nKDwSXuJb SyrianRefugees http//tco/dhVvJzJkM
2015-09-13;Urge Pres Obama amp Congress to exert strong leadership to help SyrianRefugees amp end the war http//tco/puNErreX h
2015-09-13;The good Hospitality only in Jordan  Receiving Syrian refugees in Jordan SyrianRefugees  HJK http//tco/XsOOGuFL
2015-09-13;refugees please WATCH amp RETWEET lets Help SyrianRefugees https//tco/FvFCVccfs http//tco/RFwuvVBn
2015-09-13;Amazing to see thousands on streets of London rallying for SyrianRefugees but where were they protesting Syria massacr
2015-09-13;Headed to the march for Syrian resettlement in St Louis tonight Will have coverage of issue in  this week SyrianRefugees STL
2015-09-13;Typical harper reaction  SyrianRefugees we'll match private donationsYou already didn't use  million and used it
2015-09-13;Think about it What does Lady Liberty say msnbc   What has happened  society these days syrianrefugees http//tco/nNRDuWFczX
2015-09-13;Saudi Arabia is providing financial aid to build  mosques in Germany so that syrianrefugees could properly thank Alla
2015-09-13;When ZarbeAzb launched Sindh/Punjab did not let FATA ppl enter the provinces amp V ask Europe amp US must accept SyrianRef
2015-09-13;refugees please WATCH amp RETWEET lets Help SyrianRefugees https//tco/FvFCVccfs
2015-09-13;Urge Pres Obama amp Congress to exert strong leadership to help SyrianRefugees amp end the war http//tco/puNErreX h
2015-09-13;NYCSaysWelcome to SyrianRefugees Pic by  Syria refugeecrisis http//tco/LtgNwYMmA
2015-09-13;Typical harper reaction  SyrianRefugees we'll match private donationsYou already didn't use  million and used it
2015-09-13;Syrias Refugees When did the West Become so Heartless http//tco/bZTNVqgq syrianrefugees migrantcrisis
2015-09-13;Obama imports Mexican amp Latin Amer Refugees for years  AND NOW SyrianRefugees  WakeUpAmerica  ImpeachBitsLate http//tco
2015-09-13;'We've got to stop being frightened of our own shadow' Rick Hillier says http//tco/rdJiefiZk SyrianRefugees http//tc
2015-09-13;Who are these people isis islam obama syria syrianrefugees trump bencarson hillary biden http//tco/kJOvncjrU
2015-09-13;refugees please WATCH amp RETWEET lets Help SyrianRefugees https//tco/FvFCVccfs http//tco/gozWAmsc
2015-09-13;What has happened to society these days SyrianRefugees being treated like animals We are a country of immigrants http//tco/nNRDuWFczX
